   0.000000e+00    0.000000e+00            -nan    1.000000e-02            -nan    1.000000e+00    1.000000e+00    0.000000e+00            -nan
   1.000000e+00    3.596230e-02    8.990575e-03    1.000000e-02    8.990575e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.046782e-03
   2.000000e+00    6.594932e-02    8.243665e-03    1.000000e-02    8.243665e-01    1.000000e+00    1.000000e+00    0.000000e+00   -8.361979e-03
   3.000000e+00    9.051880e-02    7.543234e-03    1.000000e-02    7.543234e-01    1.000000e+00    1.000000e+00    0.000000e+00   -3.426863e-03
   4.000000e+00    1.105197e-01    6.907484e-03    1.000000e-02    6.907484e-01    1.000000e+00    1.000000e+00    0.000000e+00    4.462304e-03
   5.000000e+00    1.271372e-01    6.356858e-03    1.000000e-02    6.356858e-01    1.000000e+00    1.000000e+00    0.000000e+00    7.805416e-05
   6.000000e+00    1.397315e-01    5.822145e-03    1.000000e-02    5.822145e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.195691e-03
   7.000000e+00    1.511255e-01    5.397339e-03    1.000000e-02    5.397339e-01    1.000000e+00    1.000000e+00    0.000000e+00   -6.620697e-03
   8.000000e+00    1.598147e-01    4.994210e-03    1.000000e-02    4.994210e-01    1.000000e+00    1.000000e+00    0.000000e+00   -5.820432e-03
   9.000000e+00    1.669464e-01    4.637400e-03    1.000000e-02    4.637400e-01    1.000000e+00    1.000000e+00    0.000000e+00   -7.785804e-04
   1.000000e+01    1.726667e-01    4.316667e-03    1.000000e-02    4.316667e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.240280e-03
   1.100000e+01    1.766316e-01    4.014355e-03    1.000000e-02    4.014355e-01    1.000000e+00    1.000000e+00    0.000000e+00    3.020945e-03
   1.200000e+01    1.804345e-01    3.759051e-03    1.000000e-02    3.759051e-01    1.000000e+00    1.000000e+00    0.000000e+00   -2.424842e-03
   1.300000e+01    1.848492e-01    3.554792e-03    1.000000e-02    3.554792e-01    1.000000e+00    1.000000e+00    0.000000e+00   -8.400111e-03
   1.400000e+01    1.867433e-01    3.334703e-03    1.000000e-02    3.334703e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.008909e-03
   1.500000e+01    1.889776e-01    3.149626e-03    1.000000e-02    3.149626e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.640960e-03
   1.600000e+01    1.925335e-01    3.008336e-03    1.000000e-02    3.008336e-01    1.000000e+00    1.000000e+00    0.000000e+00    8.263282e-03
   1.700000e+01    1.945441e-01    2.860943e-03    1.000000e-02    2.860943e-01    1.000000e+00    1.000000e+00    0.000000e+00    7.707912e-03
   1.800000e+01    1.948612e-01    2.706405e-03    1.000000e-02    2.706405e-01    1.000000e+00    1.000000e+00    0.000000e+00    7.511058e-03
   1.900000e+01    1.963548e-01    2.583616e-03    1.000000e-02    2.583616e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.383623e-03
   2.000000e+01    1.982212e-01    2.477765e-03    1.000000e-02    2.477765e-01    1.000000e+00    1.000000e+00    0.000000e+00    7.889271e-03
   2.100000e+01    1.981587e-01    2.359033e-03    1.000000e-02    2.359033e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.837986e-03
   2.200000e+01    1.976147e-01    2.245621e-03    1.000000e-02    2.245621e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.081031e-03
   2.300000e+01    1.976782e-01    2.148676e-03    1.000000e-02    2.148676e-01    1.000000e+00    1.000000e+00    0.000000e+00    6.233584e-03
   2.400000e+01    1.977909e-01    2.060322e-03    1.000000e-02    2.060322e-01    1.000000e+00    1.000000e+00    0.000000e+00    8.773487e-03
   2.500000e+01    1.981084e-01    1.981084e-03    1.000000e-02    1.981084e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.984660e-03
   2.600000e+01    1.981790e-01    1.905567e-03    1.000000e-02    1.905567e-01    1.000000e+00    1.000000e+00    0.000000e+00    3.010465e-03
